task_id,domain,task_category,core_scenario,current_image_path,image_exists,current_image_reuse_count,image_requirement,recommended_search_query,local_candidate_images,video_generation_prompt
vsec_001,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_002,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_003,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_004,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_005,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_006,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_007,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_008,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_009,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
vsec_010,visual_security,industrial_logic_and_compliance,"Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response.",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg,yes,10,"Use a scene where the rule and trigger are visible: restricted zone, worker proximity, missing protective equipment, light curtain, vehicle intrusion, or hot-work hazard.","Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. industrial security surveillance restricted zone worker ppe forklift vehicle intrusion industrial logic and compliance real industrial photo high resolution",dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_01.jpg | dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_01.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_02.jpg | dataset/images/visual_security/vsec_missing_ppe_at_height/ref_03.jpg,"Use the provided reference image as the first frame and visual anchor. Generate a 5-8 second realistic industrial video. FORGE-Bench Domain x Task cell: visual_security x industrial_logic_and_compliance. Scene: Unregistered third-party truck enters a marked restricted industrial zone; show detection, alarm, and security response. Reference subject: industrial gate vehicle restricted zone. Camera and motion: hold a fixed monitoring view; no camera movement; target motion value 0.0. Action: Show the violation or trigger followed by the correct industrial response such as alarm, braking, stop, evacuation, lockout, or escalation. Optimize for the five evaluation dimensions: industrial logic, geometry, physics, temporal consistency, and reference/motion fidelity. Keep the same equipment identity, layout, colors, materials, background, and perspective cues from the reference image. Do not add text overlays, subtitles, logos, watermarks, extra machines, or unrelated people. Avoid melting, flicker, identity swaps, component-count changes, impossible floating loads, rigid-body bending, and accidental global scene changes."
