task_id,scene_id,image,motion_type,prompt_en,prompt_zh
emerg_198,emerg_cooling_tower_plume_failure,images/emerg_198.jpg,static,"Use the reference image as the exact first frame and create a 5-second photorealistic industrial video of cooling tower steam plume: Cooling plume changes due to fan or flow failure. Camera: locked static camera. Show a localized, causal event where the hazard propagation direction and growth are visible over time; by the end, the scene preserves containment, evacuation, or escalation cues. Preserve identity, component counts, materials, lighting, background, and non-event regions; only the requested event and camera perspective may change. Avoid text/logos/watermarks, extra entities, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：冷却塔羽流异常变化。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
emerg_221,emerg_crane_load_drop_evacuation,images/emerg_221.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The existing wrapped load is lifted a short distance from the ground, then begins a dangerous controlled downward drop while every sling remains attached. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：吊装设备离地后开始危险下落。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
emerg_294,emerg_smoke_evacuation_route_visibility,images/emerg_294.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. A thin smoke layer develops at the far end of the enclosed tunnel while the camera pans right, keeping the centerline and exit direction visible. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：烟雾降低通道路线可见度。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
emerg_305,emerg_hot_work_spark_combustible_fire,images/emerg_305.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. A small localized dust plume emerges from the lower seam of the existing dust collector and the nearby fan visibly stops; all ducts remain fixed. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：除尘器接缝局部扬尘。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
emerg_306,emerg_hot_work_spark_combustible_fire,images/emerg_306.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. A small wisp of smoke appears at one existing terminal inside the open control cabinet and the adjacent drive indicators turn off; cabinet geometry remains unchanged. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：控制柜端子局部冒烟。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
emerg_314,emerg_flange_high_pressure_leak,images/emerg_314.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. A narrow high-pressure water spray starts at one visible flange seam on the center pipe and remains localized to that joint. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：法兰接缝发生高压泄漏。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_015,erob_cobot_human_handover,images/erob_015.jpg,static,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The cobot slowly extends the cardboard box toward the nearby worker and stops before contact; the worker and box remain stable. Camera: locked static camera. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：协作机器人递送纸箱。相机保持完全固定。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_027,erob_tracked_robot_rubble,images/erob_027.jpg,pan,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The tracked inspection vehicle advances a short distance over the uneven dirt; both tracks maintain continuous ground contact. Camera: smooth left-to-right inspection pan, not an orbit. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：履带巡检车通过不平地面。相机从左向右平滑巡检平移，不环绕主体。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_028,erob_tracked_robot_rubble,images/erob_028.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The red tracked robot climbs the small existing rough patch while its tracks conform to the ground without changing the chassis geometry. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：履带救援机器人越过粗糙地面。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_032,erob_quadruped_stairs_rubble_fpv,images/erob_032.jpg,orbit,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot climbs two visible stair steps with alternating foot contacts and a stable body. Camera: constant-radius 45 degree orbit around the subject. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人攀爬室外楼梯。相机以恒定半径绕主体平滑环绕45度。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
erob_033,erob_quadruped_stairs_rubble_fpv,images/erob_033.jpg,dolly,"Use the reference image as the exact first frame. Create a 5-second photorealistic industrial video. The quadruped robot descends two visible stair steps slowly; every foot lands on a tread without crossing the railing. Camera: smooth dolly forward while keeping the subject framed. Preserve every visible subject's identity, count, geometry, material, lighting, background, and all non-event regions. Do not add people, vehicles, tools, loads, text, logos, or other objects not already visible; avoid cuts, global regeneration, flicker, warping, disappearance, penetration, floating motion, and identity swaps.",以参考图片作为严格首帧，生成一段5秒的写实工业视频。核心任务：四足机器人下楼梯。相机保持主体入镜并平滑向前推进。只执行核心任务指定的局部动作；保持已有主体的身份、数量、几何结构、材质、光照、背景和非事件区域不变。不得凭空增加人员、车辆、工具、载荷、文字或其他物体。
