scene_id,domain,application_type,task_category,reference_subject,image_requirement,image_count,target_per_scene,deficit,selected
emerg_battery_thermal_runaway,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,battery energy storage container,"Battery energy storage container, EV battery pack, charging bay, or battery room",29,16,0,False
emerg_cooling_tower_plume_failure,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,cooling tower steam plume,"Cooling tower, steam plume, industrial HVAC/thermal plant, or condenser equipment",40,16,0,False
emerg_crane_load_drop_evacuation,extreme_emergency,emergency_rehearsal,industrial_logic_and_compliance,crane suspended load construction yard,"Crane lift zone, suspended load, hook block, exclusion area, or construction yard",23,16,0,False
emerg_dam_or_retaining_wall_breach,extreme_emergency,emergency_rehearsal,topology_mutation_and_failure,industrial retaining wall containment berm,"Industrial retaining wall, tailings dam face, containment berm, or flood barrier",20,16,0,False
emerg_dust_explosion_confined_space,extreme_emergency,emergency_rehearsal,industrial_logic_and_compliance,grain silo dust collector hot work,"Grain silo, dust collector, workshop, confined hot-work zone, or powder handling area",33,16,0,False
emerg_flange_high_pressure_leak,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,pipe flange valve chemical plant,"Pipe flange, valve station, refinery pipe rack, or chemical pipeline with visible joint",5,16,11,True
emerg_reactor_runaway_pressure_release,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,chemical reactor pressure relief valve,"Reactor vessel, pressure relief valve, chemical plant piping, or control platform",31,16,0,False
emerg_storage_tank_flash_fire,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,storage tank farm refinery piping,"Storage tank farm, bund wall, pipe network, or refinery tank area",25,16,0,False
emerg_transmission_tower_icing_collapse,extreme_emergency,emergency_rehearsal,topology_mutation_and_failure,transmission tower ice snow,"Transmission tower, lattice pylon, ice/snow load context, or high-voltage corridor",13,16,3,True
emerg_tunnel_fire_smoke_layering,extreme_emergency,emergency_rehearsal,fluid_dynamics_and_thermodynamics,industrial tunnel corridor,"Road tunnel, mine tunnel, conveyor tunnel, or enclosed industrial corridor",25,16,0,False
erob_amr_warehouse_navigation,embodied_robotics,robotic_operation,rigid_body_kinematics_and_coupling,autonomous mobile robot warehouse,Autonomous mobile robot or AGV in warehouse aisle with shelves or pallet stations,6,16,10,True
erob_cobot_human_handover,embodied_robotics,robotic_operation,industrial_logic_and_compliance,collaborative robot workstation,Collaborative robot workstation with human proximity or handover table,8,16,8,True
erob_gripper_failure_recovery,embodied_robotics,robotic_operation,topology_mutation_and_failure,robot gripper suction cup,"Gripper, suction cup, end effector, or robot tool with visible grasped object",5,16,11,True
erob_light_curtain_emergency_stop,embodied_robotics,robotic_operation,industrial_logic_and_compliance,robot cell light curtain,"Robotic cell, press, or automated line with light curtain or safety boundary",8,16,8,True
erob_multi_robot_coordination,embodied_robotics,robotic_operation,rigid_body_kinematics_and_coupling,multiple mobile robots warehouse,"Multiple AMRs, robotic arms, or coordinated automation stations with clear spacing",1,16,15,True
erob_quadruped_stairs_rubble_fpv,embodied_robotics,robotic_operation,spatial_exploration_and_viewpoint,quadruped robot industrial stairs,"Quadruped robot or legged robot in industrial stairs, tunnel, plant, or debris setting",7,16,9,True
erob_robot_arm_precision_grasp,embodied_robotics,robotic_operation,rigid_body_kinematics_and_coupling,industrial robot arm gripper,Industrial robot arm with gripper/tool and reachable workpiece,7,16,9,True
erob_robot_tool_contact_force,embodied_robotics,robotic_operation,rigid_body_kinematics_and_coupling,robot sanding welding tool contact,"Robot sanding, welding, drilling, or polishing tool in contact with surface",2,16,14,True
erob_tracked_robot_rubble,embodied_robotics,robotic_operation,spatial_exploration_and_viewpoint,tracked inspection robot rubble,"Tracked robot, inspection crawler, or rescue robot near debris, pipes, or uneven terrain",5,16,11,True
hload_bridge_segment_alignment_drone,heavy_load_construction,heavy_operation_risk,spatial_exploration_and_viewpoint,bridge precast segment lifting,"Bridge precast segment, viaduct beam, pier cap, or hoisting alignment target",22,16,0,False
hload_dual_crawler_crane_lift,heavy_load_construction,heavy_operation_risk,rigid_body_kinematics_and_coupling,dual crawler crane heavy lift,"Two cranes, tandem lift, spreader beam, or heavy suspended module with visible rigging",15,16,1,True
hload_excavator_linkage_loading,heavy_load_construction,heavy_operation_risk,rigid_body_kinematics_and_coupling,excavator hydraulic arm bucket,"Excavator, loader, hydraulic arm, bucket, or soil pile with clear boom/stick joints",11,16,5,True
hload_formwork_collapse_local,heavy_load_construction,heavy_operation_risk,topology_mutation_and_failure,construction formwork shoring scaffold,"Formwork, scaffold, temporary support, shoring tower, or concrete pouring support",17,16,0,False
hload_gantry_wind_disturbance,heavy_load_construction,heavy_operation_risk,rigid_body_kinematics_and_coupling,gantry crane container yard,"Gantry crane, container crane, bridge crane, or large portal frame in open yard",47,16,0,False
hload_ground_settlement_outrigger,heavy_load_construction,heavy_operation_risk,topology_mutation_and_failure,crane outrigger support pad,"Crane outrigger, support pad, soft ground, or temporary foundation",13,16,3,True
hload_hoist_collision_near_structure,heavy_load_construction,heavy_operation_risk,industrial_logic_and_compliance,hoist suspended load construction,"Hoist, hook, lifted load, scaffold, formwork, or nearby structure with exclusion zone",8,16,8,True
hload_mining_truck_muddy_slope,heavy_load_construction,heavy_operation_risk,rigid_body_kinematics_and_coupling,mining haul truck muddy road,"Mining haul truck, articulated dump truck, mud, ramp, tire/track contact, or haul road",14,16,2,True
