task_id,domain,task_category,reference_subject,core_scenario,task_visual_requirement,strict_visual_rules,search_query,negative_prompt,evaluator_prompt
vsec_001,visual_security,rigid_body_kinematics_and_coupling,forklift,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_001. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: forklift. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_002,visual_security,rigid_body_kinematics_and_coupling,heavy haul truck,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","heavy haul truck forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_002. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: heavy haul truck. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_003,visual_security,rigid_body_kinematics_and_coupling,road train coupling system,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","road train coupling system forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_003. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: road train coupling system. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_004,visual_security,rigid_body_kinematics_and_coupling,articulated dump truck,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","articulated dump truck forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_004. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: articulated dump truck. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_005,visual_security,rigid_body_kinematics_and_coupling,forklift,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_005. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: forklift. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_006,visual_security,rigid_body_kinematics_and_coupling,heavy haul truck,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","heavy haul truck forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_006. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: heavy haul truck. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_007,visual_security,rigid_body_kinematics_and_coupling,road train coupling system,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","road train coupling system forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_007. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: road train coupling system. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_008,visual_security,rigid_body_kinematics_and_coupling,articulated dump truck,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","articulated dump truck forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_008. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: articulated dump truck. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_009,visual_security,rigid_body_kinematics_and_coupling,forklift,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_009. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: forklift. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
vsec_010,visual_security,rigid_body_kinematics_and_coupling,heavy haul truck,forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force,"a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry","real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter","heavy haul truck forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force industrial security monitoring, restricted access, PPE compliance, vehicle safety a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry real industrial photo high resolution","Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject.","Find one open-license reference image for vsec_010. Domain: visual_security. Task: rigid_body_kinematics_and_coupling. Scenario: forklift overspeed during a tight turn causing pallet cargo to slide outward under centrifugal force. Required subject: heavy haul truck. The image must show a clear rigid mechanism with visible joints, links, supports, wheels, load path, tool contact, or coupled industrial motion geometry. Strict visual rules: real photo only; no render, drawing, diagram, collage, poster, screenshot, logo, text-heavy image, map, close crowd, showroom, toy, miniature, or heavily edited image; main subject must occupy roughly 25-75 percent of the frame; background must be simple enough for image-to-video evaluation, with no dense unrelated clutter. Reject if the image is decorative, synthetic, low resolution, blurry, too dark, too crowded, text-dominated, unrelated to the equipment, or missing the requested industrial subject."
